index,period_day,DIANOM-I,DIA-I,Month-I,high_season,TIPOVUELO,Emp-I,Des-I,delay_15
0,night,Sunday,1,01,1,I,AAL,KMIA,0
1,night,Monday,2,01,1,I,AAL,KMIA,0
2,night,Tuesday,3,01,1,I,AAL,KMIA,0
3,night,Wednesday,4,01,1,I,AAL,KMIA,0
4,night,Thursday,5,01,1,I,AAL,KMIA,0
10,night,Saturday,14,01,1,I,AAL,KMIA,0
13,night,Saturday,21,01,1,I,AAL,KMIA,0
14,night,Monday,23,01,1,I,AAL,KMIA,0
15,night,Wednesday,25,01,1,I,AAL,KMIA,0
16,night,Saturday,28,01,1,I,AAL,KMIA,0
17,night,Monday,30,01,1,I,AAL,KMIA,0
19,night,Monday,2,01,1,I,AAL,KMIA,0
20,night,Tuesday,3,01,1,I,AAL,KMIA,0
21,night,Wednesday,4,01,1,I,AAL,KMIA,0
22,night,Thursday,5,01,1,I,AAL,KMIA,0
24,night,Saturday,7,01,1,I,AAL,KMIA,0
25,night,Sunday,8,01,1,I,AAL,KMIA,0
27,night,Tuesday,10,01,1,I,AAL,KMIA,0
28,night,Wednesday,11,01,1,I,AAL,KMIA,0
29,night,Thursday,12,01,1,I,AAL,KMIA,0
31,night,Saturday,14,01,1,I,AAL,KMIA,0
32,night,Sunday,15,01,1,I,AAL,KMIA,0
33,night,Monday,16,01,1,I,AAL,KMIA,0
35,night,Wednesday,18,01,1,I,AAL,KMIA,0
36,night,Thursday,19,01,1,I,AAL,KMIA,0
37,night,Saturday,21,01,1,I,AAL,KMIA,0
38,night,Sunday,22,01,1,I,AAL,KMIA,0
39,night,Monday,23,01,1,I,AAL,KMIA,0
40,night,Tuesday,24,01,1,I,AAL,KMIA,0
41,night,Wednesday,25,01,1,I,AAL,KMIA,0
43,night,Friday,27,01,1,I,AAL,KMIA,0
44,night,Saturday,28,01,1,I,AAL,KMIA,0
45,night,Sunday,29,01,1,I,AAL,KMIA,0
46,night,Monday,30,01,1,I,AAL,KMIA,0
47,night,Tuesday,31,01,1,I,AAL,KMIA,0
49,night,Monday,2,01,1,I,AAL,KDFW,0
50,night,Tuesday,3,01,1,I,AAL,KDFW,0
52,night,Thursday,5,01,1,I,AAL,KDFW,0
54,night,Saturday,7,01,1,I,AAL,KDFW,0
55,night,Sunday,8,01,1,I,AAL,KDFW,0
56,night,Monday,9,01,1,I,AAL,KDFW,0
57,night,Tuesday,10,01,1,I,AAL,KDFW,0
58,night,Wednesday,11,01,1,I,AAL,KDFW,0
60,night,Friday,13,01,1,I,AAL,KDFW,0
61,night,Saturday,14,01,1,I,AAL,KDFW,0
62,night,Sunday,15,01,1,I,AAL,KDFW,0
63,night,Monday,16,01,1,I,AAL,KDFW,0
64,night,Tuesday,17,01,1,I,AAL,KDFW,0
65,night,Wednesday,18,01,1,I,AAL,KDFW,0
66,night,Thursday,19,01,1,I,AAL,KDFW,0
67,night,Friday,20,01,1,I,AAL,KDFW,0
70,night,Monday,23,01,1,I,AAL,KDFW,0
71,night,Tuesday,24,01,1,I,AAL,KDFW,0
72,night,Wednesday,25,01,1,I,AAL,KDFW,0
73,night,Thursday,26,01,1,I,AAL,KDFW,0
74,night,Friday,27,01,1,I,AAL,KDFW,0
75,night,Saturday,28,01,1,I,AAL,KDFW,0
77,night,Monday,30,01,1,I,AAL,KDFW,0
83,afternoon,Thursday,5,01,1,I,ACA,SAEZ,0
96,afternoon,Wednesday,18,01,1,I,ACA,SAEZ,0
97,afternoon,Thursday,19,01,1,I,ACA,SAEZ,0
103,afternoon,Wednesday,25,01,1,I,ACA,SAEZ,0
108,afternoon,Monday,30,01,1,I,ACA,SAEZ,0
113,night,Thursday,5,01,1,I,ACA,CYYZ,0
129,night,Sunday,22,01,1,I,ACA,CYYZ,0
131,night,Tuesday,24,01,1,I,ACA,CYYZ,0
132,night,Wednesday,25,01,1,I,ACA,CYYZ,0
133,night,Thursday,26,01,1,I,ACA,CYYZ,0
135,night,Saturday,28,01,1,I,ACA,CYYZ,0
136,night,Sunday,29,01,1,I,ACA,CYYZ,0
138,afternoon,Sunday,1,01,1,I,AFR,LFPG,0
139,afternoon,Monday,2,01,1,I,AFR,LFPG,0
140,afternoon,Tuesday,3,01,1,I,AFR,LFPG,0
141,afternoon,Wednesday,4,01,1,I,AFR,LFPG,0
142,afternoon,Thursday,5,01,1,I,AFR,LFPG,0
144,afternoon,Saturday,7,01,1,I,AFR,LFPG,0
146,afternoon,Monday,9,01,1,I,AFR,LFPG,0
147,afternoon,Tuesday,10,01,1,I,AFR,LFPG,0
148,afternoon,Wednesday,11,01,1,I,AFR,LFPG,0
149,afternoon,Thursday,12,01,1,I,AFR,LFPG,0
150,afternoon,Friday,13,01,1,I,AFR,LFPG,0
152,afternoon,Sunday,15,01,1,I,AFR,LFPG,0
153,afternoon,Monday,16,01,1,I,AFR,LFPG,0
154,afternoon,Tuesday,17,01,1,I,AFR,LFPG,0
156,afternoon,Thursday,19,01,1,I,AFR,LFPG,0
157,afternoon,Friday,20,01,1,I,AFR,LFPG,0
159,afternoon,Sunday,22,01,1,I,AFR,LFPG,0
160,afternoon,Monday,23,01,1,I,AFR,LFPG,0
161,afternoon,Tuesday,24,01,1,I,AFR,LFPG,0
162,afternoon,Wednesday,25,01,1,I,AFR,LFPG,0
